price,model,title
"29,990.00",185JY,"Voltas 1.5 Ton 5 Star Split AC (185JY, White)"
"39,700.00",243 CYe,"Voltas 2 Ton 3 Star Split AC (243 CYe, White)"
"30,900.00",183 JY,"Voltas 1.5 Ton 3 Star Split AC (183 JY, White)"
"34,990.00",CACS18EO5R7,"Carrier 1.5 Ton 5 Star Split AC (CACS18EO5R7, White)"
NA,HS4G33.GCO-CM,"Hyundai HS4G33.GCO-CM Split AC (1 Ton, 3 Star Rating, White, Copper)"
NA,BI-3HW12FATX,"Blue Star BI-3HW12FATX  Split AC (1 Ton, 3  Star Rating, White, Aluminum)"
NA,185 DY,"Voltas 1.5 Ton 5 Star Window AC (185 DY, White)"
"28,999.00",12K Esko (5 Star),"Carrier 1 Ton 5 Star Split AC (Esko, White)"
"26,490.00",INV12TDN,"Onida 1 Ton 3 Star Inverter Split AC (INV12TDN, White)"
"25,999.00",CACW18EA3W,"Carrier 1.5 Ton 3 Star Window AC (CACW18EA3W, White)"
"29,500.00",125 LYd,"Voltas 1 Ton 5 Star Split AC (125 LYd, White)"
"33,500.00",Superia,"Carrier Superia Split AC (1 Ton, 5 Star Rating, White, Copper)"
"29,490.00",JS-Q12ATXD,"LG 1 Ton 3 Star Inverter Split AC (JS-Q12ATXD, White)"
"35,400.00",FTC50QRV16,"Daikin IDU FTC50QRV16 Split AC (1.5 Ton, 3 Star Rating, White)"
"29,490.00",JS-Q12AFXD,"LG 1 Ton 3 Star Inverter Split AC (JS-Q12AFXD, White)"
"28,499.00",JS-Q12CPXD.AMLG,"LG 1 Ton 3 Star Inverter Split AC (JS-Q12CPXD, White)"
NA,Magicool DLX,"Whirlpool 1 Ton 3 Star Split AC (Magicool DLX, White Gold)"
"37,490.00",JS-Q18ATXD,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18ATXD, White)"
NA,JS-Q18BPXA,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18BPXA, White)"
NA,243VEY,"Voltas 2 Ton 3 Star Inverter split AC (Copper, 243VEY, White)"
NA,125 DY,"Voltas 1 Ton 5 Star Window AC (125 DY, White)"
"24,999.00",1.0T 123 Lya,"Voltas 1 Ton 3 Star Split AC (123 Lya, White)"
NA,183 MYA,"Voltas 1.5 Ton 3 Star Split AC (183 MYA, White)"
NA,123V MY,"Voltas 1 Ton 3 Star Inverter Split AC (Copper, 123V MY, White)"
"24,900.00",WHITE,"Lloyd Portable Air Conditioner (1 Ton, White)"
"27,990.00",RAV513HUD,"Hitachi 1.1 Ton 5 Star Window AC (RAV513HUD Summer QC, White)"
"40,500.00",JS-Q18AFXD,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18AFXD, White)"
"30,290.00",BI-3HW18FATX,"Blue Star BI-3HW18FATX Split AC (1.5 Ton, 3 Star Rating, White, Aluminum)"
"34,990.00",RAT518HUD,"Hitachi 1.5 Ton 5 Star Window AC (RAT518HUD Summer TM, White)"
"25,699.00",Amazon/Seller fulfilled,"Samsung 1 Ton 3 Star Split AC (AR12MC3JAMC, White)"
NA,DC Inverter 12V DY,"Voltas DC Inverter 12V DY Inverter Split AC (1 Ton, White, Copper)"
"32,100.00",1.5 T 185 Cya/Cy,"Voltas 185 CYa Split AC (1.5 Ton, 5 Star Rating, White, Aluminium)"
"41,090.00",LSA5NP5A,"LG LSA5NP5A L-Nova Plus Split AC (1.5 Ton, 5 Star Rating, White)"
"27,500.00",SILK-SA123SLK,"Onida 1 Ton 3 Star Split AC (Copper, SILK-SA123SLK, White)"
"28,099.00",RAW318KUD,"Hitachi 1.5 Ton 3 Star Window AC (RAW318KUD Kaze Plus, White)"
