price,model,title
"12,398.00",HRD-1954BS-R/HRD-1954BS-E,"Haier 195 L 4 Star Direct-Cool Single Door Refrigerator (HRD-1954BS-R/HRD-1954BS-E, Brushed Silver)"
"14,590.00",GL-B201ASAW.ASAZEBN,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201ASAW.ASAZEBN, Scarlet Aster)"
"40,850.00",FP 343D PROTTON ROY STEEL KNIGHT (N),"Whirlpool 330 L In Frost-Free Multi-Door Refrigerator (FP 343D PROTTON ROY STEEL KNIGHT (N), Steel Knight)"
NA,Fp 343D Royal,"Whirlpool Fp 343D Royal Multi-door Refrigerator (330 Ltrs, Mirror White)"
"13,674.00",205 Genius Cls Plus 4S,"Whirlpool 190 L 4 Star Direct-Cool Single Door Refrigerator (205 Genius Cls Plus 4S, Black Titanium)"
"82,000.00",KA56NV40NE,"Siemens 618 L In Frost-Free Double Door Refrigerator (KA56NV40NE, Inox)"
NA,Amazon/Seller Fulfilled,"Samsung 318 L 3 Star Frost-free  Refrigerator (RT34K3983SZ/HL , Tender Lily Silver)"
"23,850.00",Neo FR258 Roy 3S,"Whirlpool 245 L 3 Star Frost-Free Double Door Refrigerator (Neo FR258 Roy 3S, Midnight Bloom)"
"29,990.00",PRO 355 ELT WINE ALPHA(2S),"Whirlpool 340 L 2 Star Frost-Free Double Door Refrigerator (PRO 355 ELT WINE ALPHA(2S), Wine Alpha)"
"16,049.00",Amazon/Seller fulfilled,"Samsung 192 L 3 Star Direct Cool  Refrigerator (RR20M182ZU2/RR20M282ZU2 , Star Flower Blue)"
"12,699.00",Amazon/Seller fulfilled,"Samsung 192 L 2 Star Direct Cool  Refrigerator (RR19M14A2RJ/RR19M24A2RJ , Royal Tendril Red)"
"11,490.00",GL-B181RDSU.ADSZEBN,"LG 185 L 1 Star Direct-Cool Single Door Refrigerator (GL-B181RDSU.ADSZEBN, Dazzle Steel)"
"13,170.00",Amazon/Seller fulfilled,"Samsung 192 L 2 Star Direct Cool  Refrigerator (RR19M1412RJ/RR19M2412RJ , Royal Tendril Red)"
"18,620.00",Amazon/Seller fulfilled,"Samsung 212 L 4 Star Direct Cool  Refrigerator (RR22M274YU2/NL , Star Flower Blue)"
"11,600.00",Amazon/Seller fulfilled,"Samsung 192 L 1 Star Direct Cool  Refrigerator (RR19H10C3RH/RR19J20C3RH , Scarlet Red)"
"20,999.00",Amazon/Seller Fulfilled,"Samsung 253 L 2 Star Frost-free Refrigerator (RT28K3022SE, Elective Silver)"
"50,510.00",PRO 465 ELT 3S MIRROR BLACK (I),"Whirlpool 450 L 2 Star Frost-Free Double Door Refrigerator (PRO 465 ELT 3S MIRROR BLACK (I), Mirror Black)"
"23,290.00",RT Eon 241 P,"Godrej 241 L 3 Star Frost-Free Double Door Refrigerator (RT Eon 241 P, Ruby Petal)"
"98,200.00",GC-L207GPYV,"LG 567 L In Frost-Free Double Door Refrigerator (GC-L207GPYV, Bouquet White)"
"78,400.00",GC-B207GPQV,"LG 581 L In Frost-Free Double Door Refrigerator (GC-B207GPQV, Bouquet White)"
"126,000.00",R-W720FPND1X,"Hitachi 638 L In Frost-Free Side-by-Side Refrigerator (R-W720FPND1X, Glass Black)"
"75,300.00",GC-B207GSQV,"LG 581 L 3 Star Frost-Free Double Door Refrigerator (GC-B207GSQV, Stainless Steel)"
"97,000.00",GC-M237JSNV,"LG 679 L In Frost-Free Refrigerator (GC-M237JSNV, Silver)"
"14,600.00",Amazon/Seller Fulfilled,"Samsung 192 L 4 Star Direct Cool  Refrigerator (RR19H1844VJ/HL , Royal Tendril Violet)"
"14,299.00",215 IMPWCOOL PRM 3S WINE TITANIUM-E,"Whirlpool 200 L 3 Star Direct-Cool Single Door Refrigerator (215 IMPWCOOL PRM 3S WINE TITANIUM-E, Wine Titanium)"
"16,499.00",GL-B221ASAW.DSAZEBN,"LG 215 L 3 Star Direct-Cool Single Door Refrigerator (GL-B221ASAW.DSAZEBN, Scarlet Aster)"
"14,499.00",GL-B201AHAW.AHAZEBN,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201AHAW.AHAZEBN, Hazel Aster)"
NA,Amazon/Seller fulfilled,"Samsung 192 L 3 Star Direct Cool  Refrigerator (RR20M172ZS8/RR20M272ZS8 , Elegant Inox)"
"72,000.00",R-WB480PND2,"Hitachi 456 L In Frost-Free Multi-Door Refrigerator (R-WB480PND2, Glass Brown)"
"26,334.00",Fp 263D Royal,"Whirlpool 240 L 4 Star Frost-Free Multi-Door Refrigerator (FP 263D Proton Roy, Mirror White)"
"99,990.00",R-W660PND3 - (GBW) - (STD),"Hitachi 586 L In Frost-Free Multi-Door Refrigerator (R-W660PND3 - (GBW) - (STD), Glass Brown)"
"24,500.00",HRF-2674PSS-R,Haier 247 Litres 3 Star Double door Refrigerator HRF-2674PSS-R
NA,HRF-2674PGG-R,"Haier 247 Litres HRF-2674PGG-R Frost-free Refrigerator (247 Ltrs, 3 Star Rating, Gold)"
NA,FP 313D PROTTON ROY STEEL KNIGHT (N),"Whirlpool 300 L In Frost-Free Multi-Door Refrigerator (FP 313D PROTTON ROY STEEL KNIGHT (N), Steel Knight)"
"29,800.00",FP 283D PROTTON ROY STEEL KNIGHT (N),"Whirlpool 260 L In Frost-Free Multi-Door Refrigerator (FP 283D PROTTON ROY STEEL KNIGHT (N), Steel Knight)"
"80,800.00",R-WB550PND2-(GBW),"Hitachi 510 L In Frost-Free Multi-Door Refrigerator (R-WB550PND2-(GBW), Glass Brown)"
"240,000.00",GR-J31FWCHL,"LG 889 L In Frost-Free Multi-Door Refrigerator (GR-J31FWCHL, Artline)"
"29,800.00",Fp 283D Royal,"Whirlpool 260 L In Frost-Free Multi-Door Refrigerator (Fp 283D Royal, Mirror Black)"
"72,000.00",R-WB480PND2,"Hitachi 456 L In Frost-Free Multi-Door Refrigerator (R-WB480PND2, Glass Black)"
"28,403.00",FP 283D PROTTON ROY ALPHA STEEL (N),"Whirlpool 260 L Frost-Free Multi-Door Refrigerator (FP 283D PROTTON ROY ALPHA STEEL (N), Alpha Steel)"
"33,380.00",FP 313D PROTTON ROY ALPHA STEEL (N),"Whirlpool 300 L Frost-Free Multi-Door Refrigerator (FP 313D PROTTON ROY ALPHA STEEL (N), Alpha Steel)"
"36,550.00",FP 343D PROTTON ROY ALPHA STEEL (N),"Whirlpool 330 L Frost-Free Multi-Door Refrigerator (FP 343D PROTTON ROY ALPHA STEEL (N), Alpha Steel)"
NA,GR-M24FWAHL,"LG GR-M24FWAHL Frost-free Side-by-Side Refrigerator (725 Ltrs, Star Rating, Shiny Mosaic)"
"24,829.00",FP 263D PROTTON ROY ALPHA STEEL (N),"Whirlpool Fp 263D Royal Protton Frost-free Multi Door Refrigerator (240 LTR, Alpha Steel)"
"86,500.00",Amazon/Seller Fulfilled,"Samsung 545 L 3 Star Frost-free Double Door Refrigerator (RS552NRUA7E, Silver)"
NA,RS EON 603 SM,"Godrej RS EON 603 SM Frost-free Side-by-Side Refrigerator (603 Ltrs, Metal)"
NA,GC-L207GAQV,"LG GC-L207GAQV Double-door Refrigerator (597 Ltrs, Artline)"
NA,GC-J237JSNV,"LG 659 L In Frost-Free Multi-Door Refrigerator (GC-J237JSNV, Noble Steel)"
NA,Amazon/Seller Fulfilled,"Samsung 680 L In Frost-free Side-by-Side Refrigerator (RF60J9090SL/TL, Stainless Steel)"
"135,000.00",Amazon/Seller Fulfilled,"Samsung 868 L In Frost-free Refrigerator (RH80J81323M/TL, Matiere Real Stainless)"
NA,Amazon/Seller Fulfilled,"Samsung RF28K9380SG Frost-free Side-by-Side Double-door Refrigerator (826 Ltrs, Black Cavior)"
"157,200.00",Brand Fulfilled,"Samsung 680 L In Frost-free Refrigerator (RF60J9090SL, Stainless Steel)"
"110,000.00",Amazon/Seller Fulfilled,"Samsung 571 L In Frost-free Double Door Refrigerator (RS51K56H02A, Mirror Black)"
NA,VPL60ZPS-FSC,"Videocon 604 L In Frost-Free Double Door Refrigerator (VPL60ZPS-FSC, Platinum Silver)"
"91,399.00",GC-L207GLQV,"LG 567 L In Frost-Free Double Door Refrigerator (GC-L207GLQV, Platinum Silver)"
"73,900.00",B207GPQV,"LG 581 L In Frost-Free Double Door Refrigerator (B207GPQV, Daffodil White)"
NA,Amazon/Seller Fulfilled,"Samsung 600 L 4 Star Frost-free Double Door Refrigerator (RS21HSTWA1/XTL, Camellia White)"
NA,VPP60ZPS SILVER,"Videocon 618 L In Frost-Free Double Door Refrigerator (VPP60ZPS SILVER, Platinum Silver)"
"107,000.00",R W660PND3 GBK,"Hitachi 586 L In Frost-Free Double Door Refrigerator (R W660PND3 GBK, Glass Black)"
"119,000.00",Amazon/Seller Fulfilled,"Samsung 585 L In Frost-free Double Door Refrigerator (RS21HZLMR1, Black Mirror)"
"76,691.00",GC-B207GPQV,"LG 581 L 3 Star Frost-Free Double Door Refrigerator (GC-B207GPQV, Daffodil White)"
"81,500.00",Amazon/Seller Fulfilled,"Samsung 600 L Frost-free Side-by-Side Refrigerator (RS21HSTPN , Platinum Inox)"
