price,model,title
"12,999.00",32T8260HD,Micromax 81 cm (32 inches) I-Tech 32T8260HD/32T8280HD HD Ready LED TV (Black)
"27,990.00",XT-43S7100F,Sanyo 108.2 cm (43 inches) XT-43S7100F Full HD LED IPS TV (Black)
"13,490.00",L32D2900,TCL 81.28 cm (32 inches) L32D2900 HD Ready LED TV (Black)
"12,199.00",UA24K4100ARLXL,Samsung UA24K4100ARLXL 59 cm (24 inches) HD Ready LED TV (Black)
"14,490.00",XT-32S7000H,Sanyo 80 cm (32 inches) XT-32S7000H HD Ready LED TV (Black)
"13,490.00",BPL080D51H,BPL 80cm (32 inches) Vivid BPL080D51H HD Ready LED TV (Black)
"19,999.00",32LJ523D,LG 80 cm 32LJ523D HD Ready LED TV (32 inches)
"59,989.00",L55P2US,TCL 139.7 cm (55 inches) P2 L55P2US 4K UHD LED Smart TV (Golden)
"10,990.00",BPL060A35J,BPL 60 cm (24 inches) Vivid BPL060A35J HD Ready LED TV (Black)
"38,299.00",43K5002,Samsung 108 cm (43 inches) 43K5002 Full HD LED TV (Black)
"36,000.00",L43T6950FHD,Micromax 109 cm (43 inches) L43T6950FHD/43T7200FHD/43T4500FHD Full HD LED TV
"63,990.00",L55P2MUS,TCL 139.7 cm (55 inches) L55P2MUS Android M 4K UHD LED Smart TV (Gold)
"48,990.00",L55P1US,TCL 139.7 cm (55 inches) L55P1US  4K Ultra HD Smart LED TV (Black)
NA,PELED-001,Powereye 39.6CM (15.6) Full HD LED TV
"29,999.00",KLV-W512D,Sony 80 cm (32 inches) Bravia KLV-32W512D HD Ready Smart LED TV
"17,790.00",LE32B7000C,Haier LE32B7000 /32B9000 80 cm (32 inches) HD Ready LED TV
"36,990.00",L43P2US,TCL 109.3 cm (43 inches) L43P2US 4K UHD LED TV (Golden)
"31,500.00",UA32M5100ARLXL,Samsung 80 cm (32 inches) 32M5100 Basic Smart Full HD LED TV
"51,990.00",KLV-40W672E,Sony 101.4 cm (40 inches) KLV-40W672E Full HD LED Smart TV
NA,43W800C,Sony Bravia KDL 43W800C ( 43 Inches) Full HD 3D Android Smart LED TV
"79,367.00",49M5000,Samsung 123 cm (49 inches) Series 5 49M5000 Full HD LED TV (Black)
