price,model,title
"6,990.00",WMS62TL,"Intex 6.2 kg Semi-Automatic Top Loading Washing Machine (WMS62TL, White and Maroon)"
"11,490.00",HWM58-020,"Haier 5.8 kg Fully-Automatic Top Loading Washing Machine (HWM58-020, White)"
"32,490.00",WAK24268IN,"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24268IN, silver/grey)"
"8,700.00",WMSA72DB,"Intex 7.2 kg Semi-Automatic Top Loading Washing Machine (WMSA72DB, Dark Blue)"
NA,T7270TDDL,"LG 6.2 kg Fully-Automatic Top Loading Washing Machine (T7270TDDL, Blue white)"
"19,900.00",TL-RDS 6.5Kg Aqua,"IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RDS 6.5Kg Aqua, Sparkling Silver)"
"29,499.00",Elite VX,IFB 7 kg Fully-Automatic Front Loading Washing Machine (Elite Aqua VX )
"22,600.00",Stainwash Ultra 65H,"Whirlpool 6.5 kg Fully-Automatic Top Loading Washing Machine (Stainwash Ultra 65H, Graphite)"
"18,183.00",HWM72-718N,"Haier 7.2 kg Fully-Automatic Top Loading Washing Machine (HWM72-718N, Grey)"
"29,990.00",WAB20267IN,"Bosch 6 kg Fully-Automatic Front Loading Washing Machine (WAB20267IN, Silver Inox)"
"31,999.00",Senorita Smart,"IFB 6.5 kg Fully-Automatic Front Loading Washing Machine (Senorita Smart, White)"
"15,175.00",Classic 622SD,"Whirlpool 6.2 kg Fully-Automatic Top Loading Washing Machine (Classic 622SD, Duet Grey)"
NA,T7567TEDLX,"LG 6.5 kg Fully-Automatic Top Loading Washing Machine (T7567TEDLX, New Red Pattern and Wine Black Top)"
"29,490.00",HW70-B12636NZP,"Haier 7 kg Fully-Automatic Front Loading Washing Machine (HW70-B12636NZP, Titanium Grey)"
NA,Eva Aqua VX,"IFB Eva Aqua VX Fully-automatic Front-loading Washing Machine (5.5 Kg, White)"
"47,390.00",F1496TDP24,"LG F1496TDP24 Fully-automatic Front-loading Washing Machine (8 Kg, Luxury Silver )"
"23,650.00",Stainwash Ultra 72H (Model- 31120 ),Whirlpool~ STAINWASH ULTRA 72H-PEARL WINE 10YMW
NA,WM VT80C41-CBL,"Videocon WM VT80C41-CBL Fully-automatic Top-loading Washing Machine (8 Kg, Choco Brown)"
"16,899.00",HWM60-918NZP,"Haier HWM60-918NZP Fully-automatic Top-loading Washing Machine (6 Kg, White)"
"30,790.00",F80E3NDL2,"LG F80E3NDL2 Fully-automatic Front-loading Washing Machine (6 Kg, White)"
"39,000.00",FH 296 HDL23 BST,"LG FH 296 HDL23 BST Fully-automatic Front-loading Washing Machine (7 Kg, White)"
"25,290.00",T8067TEELK,"LG T8067TEELK Fully-automatic Top-loading Washing Machine (7 Kg, Black Knight)"
"16,750.00",Cls Plus 651S W,"Whirlpool Cls Plus 651S W Top-loading Washing Machine (6.5 Kg, Grey)"
NA,Amazon/Seller Fulfilled,"Samsung WA90J5730SS/TL Fully-automatic Top-loading Washing Machine (9 Kg, Silver)"
NA,538.91.010,"Nagold By Hafele CORSICA 07W Fully-automatic Front-loading Washing Machine (7 Kg, White)"
NA,538.91.510,"Nagold By Hafele CORAL 07W Fully-automatic Front-loading Washer Dryer (7 Kg, White)"
"22,790.00",WM VT75C45-LGY,Videocon Digi One WM VT75C45-LGY 7.5 Kg Fully Automatic Top Loading Washing Machine
NA,WS110H,WHIRLPOOL 11.0 KG WS110H TOP LOADING FULLY AUTOMATIC WASHING MACHINE
"16,990.00",WTA Eon 650 CI,"Godrej 6.5 kg Fully-Automatic Top Loading Washing Machine (WTA Eon 650 CI, Graphite Grey)"
"43,590.00",F1280WDP25,"LG F1280WDP25 Front-loading Washing Machine (6.5 Kg, Luxury Silver)"
"23,000.00",ES-FL55MD,"Sharp ES-FL55MD Front-loading Washing Machine (5.5 Kg, White)"
"42,100.00",WI EON 550 SD,"Godrej WI EON 550 SD Fully-automatic Front-loading Washing Machine (5.5 Kg, Silver)"
